ID,CASRN,Name,ChemSpiderID,MolecularFormula,VerticeSet,EdgeSet,NumHydrogenSet,amine,nitrile,imine,sulfide,thiol,halide_F,halide_Cl,halide_Br,halide_I,phosphate,alcohol,carboxylic_acid,acid_halide_F,acid_halide_Cl,acid_halide_Br,ester,anhydride,imide_0,imide_1,amide_0,amide_1,amide_2,isocyanate,aldehyde,ketone,benzene
76,75-69-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,56-17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,56-18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,56-23-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,56-25-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,56-33-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,56-35-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,56-40-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,56-41-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,56-45-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,56-49-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,56-53-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,56-54-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,56-55-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,56-65-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,56-69-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,56-73-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,56-81-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,56-82-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,56-84-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,56-85-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,56-86-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,56-87-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,56-89-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,56-92-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,56-93-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,57-00-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,57-09-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,57-13-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,57-14-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,57-15-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,57-24-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,57-37-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,57-39-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,57-40-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,57-47-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,57-48-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,57-50-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,57-53-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,57-55-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,57-56-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,57-57-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,57-62-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,57-63-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,57-64-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,57-66-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,57-67-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,57-68-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,57-71-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,57-83-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,57-85-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,57-88-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,57-97-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,58-15-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,58-18-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,58-22-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,58-27-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,58-33-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,58-55-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,58-56-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,58-60-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,58-61-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,58-63-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,58-64-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,58-68-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,58-72-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,58-73-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,58-85-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,58-86-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,58-89-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,58-90-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,58-93-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,58-94-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,58-95-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,58-96-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,58-97-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,59-14-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,59-23-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,59-30-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,59-31-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,59-33-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,59-40-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,59-43-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,59-49-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,59-50-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,59-51-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,59-52-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,59-56-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,59-66-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,59-67-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,59-85-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,59-87-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,59-88-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,59-92-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,59-97-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,60-00-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,60-18-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,60-19-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,60-24-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,60-25-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,60-27-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,60-29-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,60-31-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,60-32-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,60-33-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,60-34-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,60-35-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,60-51-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,60-56-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,60-80-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,60-92-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,60-93-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,61-19-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,61-25-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,61-28-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,61-31-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,61-73-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,61-76-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,61-78-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,61-82-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,61-90-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,62-23-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,62-31-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,62-33-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,62-38-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,62-44-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,62-49-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,62-50-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,62-51-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,62-53-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,62-54-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,62-55-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,62-56-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,62-57-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,62-73-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,62-75-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,62-76-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,63-25-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,63-37-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,63-42-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,63-68-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,63-74-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,63-91-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,64-04-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,64-17-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,64-18-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,64-19-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,64-20-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,64-47-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,64-65-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,64-67-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,64-69-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,64-75-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,64-77-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,64-86-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,65-19-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,65-22-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,65-23-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,65-30-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,65-45-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,65-46-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,65-47-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,65-49-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,65-61-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,65-71-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,65-82-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,65-85-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,65-86-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,66-22-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,66-23-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,66-25-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,66-27-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,66-71-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,66-76-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,66-77-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,66-84-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,67-16-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,67-20-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,67-21-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,67-42-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,67-43-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,67-45-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,67-47-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,67-48-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,67-51-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,67-52-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,67-56-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,67-63-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,67-64-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,67-66-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,67-68-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,67-71-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,67-72-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,67-92-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,67-97-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,68-19-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,68-26-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,68-34-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,68-35-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,68-36-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,68-94-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,69-09-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,69-65-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,69-72-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,69-78-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,69-79-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,69-89-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,69-93-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,70-18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,70-23-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,70-25-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,70-26-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,70-30-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,70-34-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,70-47-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,70-49-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,70-53-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,70-55-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,70-69-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,70-70-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,71-00-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,71-23-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,71-30-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,71-36-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,71-41-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,71-43-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,71-44-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,71-48-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,71-55-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,71-58-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,71-63-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,71-67-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,71-91-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,72-14-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,72-17-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,72-18-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,72-19-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,72-40-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,72-44-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,72-48-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,72-57-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,73-22-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,73-24-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,73-32-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,73-40-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,73-78-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,74-31-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,74-39-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,74-79-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,74-82-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,74-83-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,74-84-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,74-85-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,74-86-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,74-87-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,74-88-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,74-89-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,74-90-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,74-93-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,74-94-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,74-95-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,74-96-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,74-97-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,74-98-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,74-99-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
