molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,degeneracy,find_rate
3,5552,26,0.814053,0.106797,1,1,6,1
2715,29011,26,0.798049,0.019661,1,1,2,1
245,6018,26,0.932737,0.224182,0.333333,0.333333,2,1
3425,61137,26,0.814398,0.448457,1.054093,1.054093,28,1
117,5800,27,0.941222,0.292093,0,0,3,1
636,431981,27,0.960632,0.043895,0,0,2,1
690,4641,27,0.917541,0.061185,0,0,1,1
415,59600,27,0.841465,0.029139,1,1,3,1
2845,60574,27,0.947024,0.422467,0.333333,0.333333,2,1
777,6662,27,0.823818,0.093313,1,1,12,1
1876,59448,27,0.818271,0.011899,1,1,1,1
200,5935,27,0.937376,0.436555,0.333333,0.333333,5,1
67,10218152,27,0.823319,0.258196,1.054093,1.054093,42,1
1643,60294,27,0.818292,0.024183,1,1,2,1
1527,7405,27,0.930728,0.459707,0.333333,0.333333,2,1
2392,60350,27,0.852585,0.159126,1,1,18,1
2966,8447,27,0.936301,0.442723,0.333333,0.333333,3,1
2446,60375,28,0.945638,0.506868,0.333333,0.333333,2,1
2808,60554,28,0.93738,0.409691,0.333333,0.333333,4,1
1648,192224,28,0.837727,0.016495,1,1,2,1
2102,60539,28,0.919579,0.342047,0.333333,0.333333,2,1
2967,4510404,28,0.840267,0.033438,1,1,4,1
3249,13888074,28,0.882675,0.479245,1.054093,1.054093,40,1
670,59917,28,0.937277,0.30584,0.333333,0.333333,3,1
3154,8678,28,0.839548,0.019445,1,1,2,1
1622,7485,28,0.840565,0.02487,1,1,2,1
3534,388534,28,0.855807,0.019584,1,1,4,1
133,4447518,29,0.934323,0.101247,0,0,1,1
203,2016814,29,0.963418,0.224978,0,0,2,1
206,5941,29,0.953664,0.039081,0,0,1,1
2638,77310,29,0.894716,0.02376,1,1,1,1
592,59877,29,0.96951,0.420272,0.333333,0.333333,4,1
3264,9033,29,0.887251,0.057675,1,1,7,1
548,192176,29,0.875953,0.007265,1,1,1,1
420,5288491,29,0.895448,0.032422,1,1,3,1
1390,7288,29,0.935959,0.337883,0.333333,0.333333,2,1
2937,16736579,29,0.894673,0.030428,1,1,4,1
1708,7543,29,0.885783,0.014649,1,1,1,1
32,4445377,29,0.891679,0.109996,1,1,11,1
3367,9270,29,0.92531,0.512595,0.333333,0.333333,6,1
2526,103869691,30,0.941361,0.027881,0,0,1,1
568,59857,30,0.952801,0.246107,0.333333,0.333333,2,1
2760,58828530,30,0.927611,0.045159,1,1,5,1
584,59872,30,0.933516,0.18127,1,1,26,1
587,6444,30,0.921162,0.201526,1,1,26,1
2965,60652,30,0.950684,0.472781,0.333333,0.333333,5,1
100,5771,30,0.961356,0.491,0.333333,0.333333,8,1
1998,7798,30,0.927954,0.282058,1.054093,1.054093,58,1
46,83708,30,0.912759,0.044667,1,1,6,1
1640,7495,30,0.911853,0.020771,1,1,2,1
2642,28959,30,0.917544,0.01664,1,1,2,1
75,5742,31,0.957714,0.615243,0,0,3,1
2894,11341369,31,0.964676,0.020586,0,0,1,1
365,6196,31,0.941856,0.061776,1,1,6,1
372,6209,31,0.947059,0.159168,1,1,18,1
391,6241,31,0.937238,0.077151,1,1,12,1
2129,9181,31,0.939839,0.036584,1,1,1,1
2137,13836500,31,0.946773,0.76127,0.333333,0.333333,3,1
2458,60385,31,0.972323,0.43423,0.333333,0.333333,5,1
2494,8069,31,0.947402,0.067244,1,1,12,1
3248,36551,31,0.948387,0.398724,1.054093,1.054093,44,1
131,3288,32,0.96336,0.13811,0,0,4,1
3121,60692,32,0.983825,0.16008,0,0,1,1
1646,60296,32,0.960813,0.009573,1,1,1,1
2895,60603,32,0.970667,0.270812,0.333333,0.333333,4,1
3258,60870,32,0.972585,0.389478,1.054093,1.054093,41,1
586,59874,32,0.964026,0.164198,0.333333,0.333333,4,1
3504,61237,32,0.979991,0.475179,1.054093,1.054093,40,1
2758,29054,32,0.963565,0.120306,1,1,19,1
2108,60540,32,0.965489,0.080307,0.333333,0.333333,2,1
583,59871,32,0.962569,0.164167,0.333333,0.333333,4,1
2097,29146,32,0.964171,0.381137,0.333333,0.333333,4,1
3126,60612,32,0.972469,0.170181,0.333333,0.333333,2,1
569,6434,33,0.842868,0.226249,0.333333,0.333333,4,1
416,59601,33,0.688295,0.015796,1,1,3,1
2109,60541,33,0.849956,0.228294,0.333333,0.333333,4,1
663,4447652,33,0.67234,0.052143,1,1,12,1
373,59008,33,0.689223,0.088288,1,1,18,1
3539,20155928,33,0.835236,0.231712,0.333333,0.333333,4,1
388,58472,33,0.676473,0.019078,1,1,3,1
2806,58916,33,0.597106,0.145235,0.333333,0.333333,6,1
2201,10393,33,0.690815,0.013041,1,1,3,1
99,10469370,33,0.782921,0.226389,0.333333,0.333333,4,1
53,2612,34,0.923604,0.104526,0,0,4,1
2111,29155,34,0.833777,0.120092,0,0,2,1
126,77987,34,0.670888,0.024281,1,1,7,1
549,6425,34,0.693698,0.131799,1,1,28,1
572,6435,34,0.769388,0.113175,0.333333,0.333333,4,1
585,59161,34,0.829506,0.16701,0.333333,0.333333,4,1
878,60029,34,0.690366,0.083997,1,1,18,1
2877,60588,34,0.739814,0.130144,0.333333,0.333333,4,1
371,6208,35,0.701354,0.097062,1,1,18,1
426,6282,35,0.62267,0.121175,0.802773,0.802773,30,1
547,6423,35,0.734706,0.050709,0.333333,0.333333,2,1
579,59867,35,0.72225,0.079328,0.333333,0.333333,2,1
2103,4510563,35,0.881537,0.215235,0.333333,0.333333,4,1
2130,60955,35,0.636814,0.266694,1.054093,1.054093,40,1
2688,28990,35,0.689428,0.015599,1,1,2,1
3254,60866,35,0.637623,0.26679,1.054093,1.054093,40,1
573,59861,36,0.840932,0.161275,0.333333,0.333333,4,1
2427,60366,36,0.695661,0.129408,1,1,34,1
2422,55001,36,0.830036,0.204402,0.333333,0.333333,4,1
2426,55002,36,0.691865,0.120101,1,1,34,1
2420,8015,36,0.695796,0.099114,1,1,34,1
3176,60773,36,0.701162,0.141973,1,1,36,1
3517,61251,36,0.632032,0.133668,1.054093,1.054093,36,1
2813,8216,36,0.842603,0.225022,0.333333,0.333333,4,1
392,6242,36,0.683881,0.101287,1,1,24,1
2092,60532,36,0.701042,0.138066,1,1,34,1
580,59868,37,0.699766,0.111407,1,1,34,1
3255,60867,37,0.646738,0.001057,1,1,1,1
220,2301699,38,0.922623,0.309025,0,0,4,1
2090,4511054,38,0.693,0.108876,1,1,34,1
3247,71305,38,0.690171,0.311754,1.054093,1.054093,56,1
3256,60868,38,0.628173,0.255513,1.054093,1.054093,48,1
3505,61238,38,0.779071,0.256282,0.333333,0.333333,2,1
3428,61140,39,0.783506,0.240817,0.333333,0.333333,2,1
940,60065,40,0.895436,0.404226,0.333333,0.333333,4,1
2089,29140,40,0.698169,0.101944,1,1,34,1
3260,13836523,40,0.762586,0.245564,0.333333,0.333333,3,1
3442,61158,40,0.786804,0.160412,0.333333,0.333333,2,1
2421,60363,42,0.859458,0.22359,0.333333,0.333333,4,1
2441,20155926,42,0.879507,0.112073,0.333333,0.333333,4,1
3158,4444362,43,0.736231,0.058587,1,1,15,1
3427,61139,43,0.695811,0.004939,1,1,1,1
927,6801,44,0.894171,0.311433,0.333333,0.333333,4,1
2440,20137935,44,0.888935,0.11644,0.333333,0.333333,4,1
3257,60869,44,0.695693,0.225804,1.054093,1.054093,56,1
195,5918,45,0.899741,0.271169,0.333333,0.333333,16,1
2764,29073,47,0.705944,0.051116,1,1,8,1
3234,4446726,47,0.745306,0.013359,1,1,5,1
42,17215925,48,0.923526,0.171904,0,0,3,1
686,79067,48,0.952036,0.26529,0,0,3,1
2138,60965,49,0.870078,0.290629,0.333333,0.333333,3,1
2428,8021,50,0.915856,0.178024,0.333333,0.333333,4,1
3358,61055,50,0.749492,0.200143,1.054093,1.054093,64,1
2096,4515042,51,0.909012,0.190093,0.333333,0.333333,6,1
2113,60544,51,0.908257,0.159959,0.333333,0.333333,6,1
2835,8263,51,0.915233,0.203918,0.333333,0.333333,6,1
2112,60542,52,0.904643,0.130001,0.333333,0.333333,4,1
3106,559059,53,0.96374,0.076279,0,0,5,1
266,389987,54,0.827931,0.009989,1,1,3,1
3527,71343,58,0.948655,0.381715,0.333333,0.333333,3,1
2625,4593733,63,0.962563,0.0162,1,1,9,1
3235,4445197,63,0.956656,0.040982,1,1,26,1
