molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,find_rate
287,6089,2,1.0,0.985197,1.3333333333333335,1.3333333333333335,1.0
3228,8960,2,1.0,1.0,1.3333333333333335,1.3333333333333335,1.0
288,748,2,1.0,0.985065,1.9436506316151003,1.9436506316151003,1.0
3483,9479,2,1.0,1.0,1.9436506316151003,1.9436506316151003,1.0
283,6085,2,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0
0,692,2,1.0,0.999872,1.6666666666666667,1.6666666666666667,1.0
282,6084,2,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0
2247,64640,2,1.0,0.999871,1.4142135623730951,1.4142135623730951,1.0
284,6086,2,1.0,1.0,1.9436506316151003,1.9436506316151003,1.0
281,6083,2,1.0,0.999711,1.4142135623730951,1.4142135623730951,1.0
289,855,2,1.0,0.999864,1.4142135623730951,1.4142135623730951,1.0
285,6087,2,1.0,0.999716,1.4142135623730951,1.4142135623730951,1.0
154,5837,3,0.951469,0.893391,1.3333333333333335,1.3333333333333335,1.0
3484,9480,3,0.913289,0.878763,1.3333333333333335,1.3333333333333335,1.0
293,6095,3,0.523466,0.060762,1.4142135623730951,1.4142135623730951,1.0
303,10606585,3,0.744527,0.68237,1.6666666666666667,1.6666666666666667,1.0
290,2916,3,0.701713,0.63942,1.6666666666666667,1.6666666666666667,1.0
3322,9243,3,0.902037,0.813459,1.4142135623730951,1.4142135623730951,1.0
2748,274,3,0.340066,0.340066,2.23606797749979,2.23606797749979,1.0
297,21171184,3,0.340519,0.340519,2.23606797749979,2.23606797749979,1.0
191,682,3,0.913895,0.818947,1.4142135623730951,1.4142135623730951,1.0
295,172,3,0.870621,0.814742,1.4142135623730951,1.4142135623730951,1.0
301,6112,3,0.902975,0.902975,1.6666666666666667,1.6666666666666667,1.0
2379,7954,3,0.914112,0.819349,1.4142135623730951,1.4142135623730951,1.0
86,1143,4,1.0,0.99997,1.3333333333333335,1.3333333333333335,1.0
87,5756,4,1.0,0.97105,1.3333333333333335,1.3333333333333335,1.0
155,173,4,1.0,0.984317,1.3333333333333335,1.3333333333333335,1.0
