molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,find_rate
287,6089,2,1.0,0.985064,1.3333333333333335,1.3333333333333335,1.0
3228,8960,2,1.0,1.0,1.3333333333333335,1.3333333333333335,1.0
288,748,2,1.0,0.985161,1.9436506316151003,1.9436506316151003,1.0
3483,9479,2,1.0,1.0,1.9436506316151003,1.9436506316151003,1.0
283,6085,2,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0
0,692,2,1.0,0.99984,1.6666666666666667,1.6666666666666667,1.0
282,6084,2,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0
2247,64640,2,1.0,0.999875,1.4142135623730951,1.4142135623730951,1.0
284,6086,2,1.0,1.0,1.9436506316151003,1.9436506316151003,1.0
281,6083,2,1.0,0.99971,1.4142135623730951,1.4142135623730951,1.0
