molecule_id,chemSpiderId,len_molecule,valid_prob,sol_prob,d_min,d_min_cl,find_rate
3484,9480,3,0.810062,0.724842,0.0,0.0,1.0
192,278,3,0.815298,0.752329,1.0540925533894598,1.0540925533894598,1.0
3485,9481,3,0.945665,0.943722,1.2018504251546631,1.2018504251546631,1.0
301,6112,3,0.879805,0.879805,1.2018504251546631,1.2018504251546631,1.0
2380,7956,3,0.770103,0.612828,1.2018504251546631,1.2018504251546631,1.0
297,21171184,3,0.87649,0.871034,1.0540925533894598,1.0540925533894598,1.0
290,2916,3,0.919106,0.907222,1.2018504251546631,1.2018504251546631,1.0
303,10606585,3,0.945656,0.943653,1.2018504251546631,1.2018504251546631,1.0
3322,9243,3,0.935648,0.928955,1.2018504251546631,1.2018504251546631,1.0
191,682,3,0.939885,0.935707,1.2018504251546631,1.2018504251546631,1.0
2379,7954,3,0.801159,0.777873,1.0540925533894598,1.0540925533894598,1.0
1731,7566,4,0.994922,0.994286,0.0,0.0,1.0
1733,7569,4,0.825135,0.782728,0.0,0.0,1.0
2697,28994,4,0.939889,0.935284,0.6666666666666667,0.6666666666666667,1.0
258,1004,4,0.945589,0.940013,1.2018504251546631,1.2018504251546631,1.0
1727,31029,4,0.940095,0.932805,1.2018504251546631,1.2018504251546631,1.0
321,1114,4,0.892087,0.884793,0.6666666666666667,0.6666666666666667,1.0
1730,13835977,4,0.893752,0.884332,0.6666666666666667,0.6666666666666667,1.0
3019,13835336,4,0.996195,0.994788,0.6666666666666667,0.6666666666666667,1.0
179,2005981,4,0.784827,0.772971,0.6666666666666667,0.6666666666666667,1.0
1715,7552,4,0.940034,0.932814,1.2018504251546631,1.2018504251546631,1.0
307,6121,4,0.908773,0.903297,1.2018504251546631,1.2018504251546631,1.0
308,6122,4,0.908886,0.903467,1.2018504251546631,1.2018504251546631,1.0
452,6311,5,0.861843,0.519285,0.0,0.0,1.0
466,21106532,5,0.890978,0.837403,0.0,0.0,1.0
1901,7717,5,0.889961,0.842217,0.0,0.0,1.0
1903,13884495,5,0.838401,0.817388,0.0,0.0,1.0
338,6158,5,0.841607,0.272636,1.2018504251546631,1.2018504251546631,1.0
331,6149,5,0.849483,0.837928,1.2018504251546631,1.2018504251546631,1.0
332,6151,5,0.915696,0.903637,1.2018504251546631,1.2018504251546631,1.0
97,5008,5,0.792029,0.610825,0.33333333333333337,0.33333333333333337,1.0
3050,8543,5,0.927043,0.901136,1.2018504251546631,1.2018504251546631,1.0
459,21159403,5,0.9194,0.899929,1.2018504251546631,1.2018504251546631,1.0
3372,61073,5,0.877431,0.854774,1.0540925533894598,1.0540925533894598,1.0
3218,55053,5,0.866066,0.840599,1.0540925533894598,1.0540925533894598,1.0
1909,7727,5,0.905631,0.850817,0.6666666666666667,0.6666666666666667,1.0
3373,9284,5,0.804971,0.733609,1.0540925533894598,1.0540925533894598,1.0
345,6166,6,0.893426,0.531832,0.0,0.0,1.0
1963,21106481,6,0.79577,0.645741,0.0,0.0,1.0
1969,54991,6,0.781983,0.608062,0.0,0.0,1.0
3328,61029,6,0.749324,0.647537,0.0,0.0,1.0
3397,9357,6,0.943241,0.887434,0.0,0.0,1.0
3488,61214,6,0.914832,0.891887,0.0,0.0,1.0
2384,21106133,6,0.774157,0.666,1.0540925533894598,1.0540925533894598,1.0
3207,8904,6,0.786657,0.75997,0.4714045207910317,0.4714045207910317,1.0
2787,29107,6,0.957463,0.895385,0.6666666666666667,0.6666666666666667,1.0
3027,8524,6,0.941687,0.817833,1.0540925533894598,1.0540925533894598,1.0
3028,8525,6,0.87846,0.637682,1.0540925533894598,1.0540925533894598,1.0
3208,8907,6,0.896778,0.844299,1.3743685418725535,1.3743685418725535,1.0
1967,7775,6,0.709203,0.614755,1.0,1.0,1.0
1153,7016,6,0.786572,0.532816,1.0540925533894598,1.0540925533894598,1.0
2264,71441,6,0.805106,0.28805,1.3662601021279466,1.3662601021279466,1.0
477,6339,6,0.921189,0.879296,1.2472191289246473,1.2472191289246473,1.0
1596,83714,7,0.920675,0.916524,0.0,0.0,1.0
1597,13867413,7,0.919551,0.892151,0.0,0.0,1.0
2387,7963,7,0.992727,0.835555,1.0540925533894598,1.0540925533894598,1.0
2027,13835401,7,0.953362,0.836634,1.0,1.0,1.0
1594,7459,7,0.914213,0.866834,1.4142135623730951,1.4142135623730951,1.0
176,5889,7,0.928928,0.827529,0.9428090415820634,0.9428090415820634,1.0
2249,12579,7,0.935602,0.899974,1.2018504251546631,1.2018504251546631,1.0
356,10800462,7,0.985835,0.765801,1.0540925533894598,1.0540925533894598,1.0
1861,7689,7,0.962196,0.957844,0.33333333333333337,0.33333333333333337,1.0
1889,30037,7,0.833537,0.813102,0.7453559924999299,0.7453559924999299,1.0
3408,9389,7,0.953947,0.005603,1.1547005383792517,1.1547005383792517,1.0
537,111629,7,0.920414,0.506619,1.0540925533894598,1.0540925533894598,1.0
1325,7224,8,0.825289,0.770136,0.0,0.0,1.0
1326,7225,8,0.835184,0.353314,0.0,0.0,1.0
1332,78,8,0.996752,0.977688,0.0,0.0,1.0
1343,7241,8,0.833056,0.753237,0.0,0.0,1.0
1613,13856579,8,0.80651,0.753978,0.0,0.0,1.0
1954,60328,8,0.998358,0.996125,0.0,0.0,1.0
2054,13876621,8,0.824048,0.780997,0.0,0.0,1.0
2923,8387,8,0.830454,0.782843,0.0,0.0,1.0
2577,13837760,8,0.98814,0.934702,1.1055415967851334,1.1055415967851334,1.0
1111,13854136,8,0.915454,0.712543,0.9428090415820634,0.9428090415820634,1.0
404,6256,8,0.983883,0.960821,1.3743685418725535,1.3743685418725535,1.0
2719,91794,8,0.873395,0.852567,1.0,1.0,1.0
1804,13875377,8,0.922312,0.776709,1.1055415967851334,1.1055415967851334,1.0
213,1141,8,0.941628,0.896172,0.7453559924999299,0.7453559924999299,1.0
1346,7244,8,0.931538,0.920204,0.9428090415820634,0.9428090415820634,1.0
2924,21105999,8,0.990514,0.939863,1.1055415967851334,1.1055415967851334,1.0
1109,13854248,8,0.916048,0.610562,0.9428090415820634,0.9428090415820634,1.0
